"","ages","Stimulating","Anxiety_producing","Calming","Love","Blissful","Energetic","Sociable","Charming","Bizarre","Intense","Difficult","Funny","Interesting","Visual","Spiritual","Enhanced_body_feeling","Bodily_discomfort","Enhanced_imagination","Rational","Irritating","Confusing","Fast_paced","Trivial","Long_lasting","Emotional","Constructive","Self_centered","Dangerous","Constructive","Erotic","Worth_it","Sneaky","Too_much","Sobering","Spaced_out","Colorful","Relieving","Insightful","Profound","Mystical","Incredible","Life_changing","Impairing","Subtle","Easy_to_overdoo","Hard_to_resist","Intellectual","Enhances_aesthetics","Digital","Artistic","Enjoyment_of_music","Delight_in_food","substance","times_taken","samples"
"23",30,1,-1,2,2,2,0,0,1,0,1,0,2,2,1,1,1,0,1,0,0,0,1,0,0,1,1,1,-2,2,0,2,0,0,0,1,2,1,1,1,1,1,1,0,0,0,1,2,0,0,1,2,1,"Psilocybin",6,39
"24",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Piracetam",3,5
"25",28,2,1,1,1,2,-1,2,1,1,0,-2,2,2,0,1,1,-2,2,1,-2,1,-2,-2,1,0,-1,0,-2,-1,1,2,0,0,-1,1,1,1,1,1,1,2,2,0,1,-2,0,1,2,0,2,2,2,"Marijuana",7,64
"26",30,1,0,1,2,2,2,1,1,0,1,1,2,2,1,2,1,0,2,2,0,0,1,0,1,1,1,1,0,1,0,2,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,0,0,2,2,1,"LSD",5,74
"27",44,1,-1,1,0,0,1,-1,0,0,-1,-1,-1,0,0,0,0,0,1,1,-1,-1,0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,-1,1,-1,0,1,0,0,0,0,0,"Modafinil",3,3
"28",28,1,0,-1,0,1,1,0,-1,1,2,2,1,2,2,2,2,1,1,2,0,0,0,-2,1,0,0,-1,-1,0,1,2,-2,1,-1,-1,1,-2,2,2,2,2,2,0,-2,1,0,2,2,2,0,2,0,"2C-E",5,4
"29",27,2,-1,1,2,2,2,2,2,1,0,-1,0,1,2,2,2,0,2,1,-2,0,0,-1,1,1,2,1,0,1,1,2,0,-1,-1,1,2,1,2,2,2,1,0,0,1,2,-2,2,2,0,2,2,0,"2C-E",2,4
"30",16,1,0,2,1,2,-2,-2,-2,2,1,0,1,1,2,1,1,1,2,0,-1,1,-2,0,-1,0,-2,1,0,-2,-2,2,-1,-2,1,2,2,2,1,0,-1,1,1,2,-2,-2,-2,-2,2,0,1,2,-1,"DXM",3,9
"31",20,2,1,0,-1,-2,2,2,1,0,2,0,0,1,0,-2,0,-2,0,1,0,-1,1,0,1,-1,-1,-1,-2,2,-2,2,0,-2,-1,-2,-2,-2,-2,-2,-2,1,1,-2,1,0,-1,1,-1,-1,-2,-1,-1,"Modafinil",3,3
"32",27,1,-1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-1,0,-2,0,-1,-2,0,-2,-1,-2,-2,1,0,0,0,2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,0,-2,-2,-2,-1,-2,"Cocaine",5,10
